@SampleID:CAMI_HIGH_S001
@Version:CLARK
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	95.31224
201174	phylum	2|201174	Bacteria|Actinobacteria	20.35707
976	phylum	2|976	Bacteria|Bacteroidetes	20.08037
1224	phylum	2|1224	Bacteria|Proteobacteria	54.87480
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	19.98149
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	20.08037
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	19.87812
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	8.71983
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	26.27685
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	0.37558
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	14.35377
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	20.08037
213115	order	2|1224|28221|213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	19.87812
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	8.71983
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	24.54350
85010	order	2|201174|1760|85010	Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales	5.62772
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	1.73335
84993	order	2|201174|84992|84993	Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	0.37558
145360	family	2|201174|1760|85006|145360	Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Sanguibacteraceae	2.53861
49546	family	2|976|117743|200644|49546	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	20.08037
