# Taxonomic profile for the file: timing/results/metaphlan2_results_RH_S004.txt
@Version:0.9.1
@SampleID:CAMI_HIGH_S004
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	90.540650
2157	superkingdom	2157	Archaea	9.459350
1224	phylum	2|1224	Bacteria|Proteobacteria	65.066530
1239	phylum	2|1239	Bacteria|Firmicutes	10.654340
201174	phylum	2|201174	Bacteria|Actinobacteria	10.356960
28890	phylum	2157|28890	Archaea|Euryarchaeota	9.459350
976	phylum	2|976	Bacteria|Bacteroidetes	4.453780
200918	phylum	2|200918	Bacteria|Thermotogae	0.009040
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	26.969790
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	18.620650
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	12.882700
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	9.459350
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	7.162510
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	6.564770
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	3.379660
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	1.951520
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	1.905060
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	0.562980
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	0.112170
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	0.034220
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	0.028620
213115	order	2|1224|28221|213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	16.716570
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	12.226380
213118	order	2|1224|28221|213118	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales	10.253230
2037	order	2|201174|1760|2037	Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	9.817730
2235	order	2157|28890|183963|2235	Archaea|Euryarchaeota|Halobacteria|Halobacteriales	9.459350
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	8.316260
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	6.125100
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	5.545510
204458	order	2|1224|28211|204458	Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	3.739720
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	3.379660
200666	order	2|976|117747|200666	Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	1.951520
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	1.648190
