# Taxonomic Profiling Output
# git tag version 2.5.1 |  motus version 2.5.1 | map_tax 2.5.1 | gene database: nr2.5.1 | calc_mgc 2.5.1 -y insert.scaled_counts -l 75 | calc_motu 2.5.1 -k mOTU -C precision -g 3 | taxonomy: ref_mOTU_2.5.1 meta_mOTU_2.5.1
# call: python /home/nlapier2/miniconda3/bin/../share/motus-2.5.1//motus profile -C precision -s challenge_low/RL_S001__insert_270.fq -o timing/results/motus2_default_RL_S001.txt -t 4

@SampleID:CAMI_low_S001
@Version:0.9.3
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID: Jan 08 2019
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	100.0
1224	phylum	2|1224	Bacteria|Proteobacteria	28.463359800760507
1239	phylum	2|1239	Bacteria|Firmicutes	49.40546678736598
201174	phylum	2|201174	Bacteria|Actinobacteria	21.088411133084616
976	phylum	2|976	Bacteria|Bacteroidetes	1.0427622787888908
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	9.065054208986826
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	11.697712906623812
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	9.603844124918243
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	5.2036997402242475
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	1.563346960296198
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	2.4968929449256203
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	21.08841113308462
1853228	class	2|976|1853228	Bacteria|Bacteroidetes|Chitinophagia	0.9160425558681025
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	38.23827570215155
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	0.1267197229207886
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	8.474234246993433
