tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	family	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	order	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	species	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_low_S001	0.47404061812816134
Gold standard	superkingdom	Shannon equitability	CAMI_low_S001	0.6838960489534373
Gold standard	phylum	Shannon diversity	CAMI_low_S001	1.6471831966453045
Gold standard	phylum	Shannon equitability	CAMI_low_S001	0.9193104459243973
Gold standard	class	Shannon diversity	CAMI_low_S001	2.1395668019073213
Gold standard	class	Shannon equitability	CAMI_low_S001	0.8610250216400919
Gold standard	order	Shannon diversity	CAMI_low_S001	2.180105888611575
Gold standard	order	Shannon equitability	CAMI_low_S001	0.8260926597336964
Gold standard	family	Shannon diversity	CAMI_low_S001	2.0921900724845233
Gold standard	family	Shannon equitability	CAMI_low_S001	0.7545980605426357
Gold standard	genus	Shannon diversity	CAMI_low_S001	2.215396739956548
Gold standard	genus	Shannon equitability	CAMI_low_S001	0.7167150802311345
Gold standard	species	Shannon diversity	CAMI_low_S001	1.3957167792808647
Gold standard	species	Shannon equitability	CAMI_low_S001	0.44513454121211576
Gold standard	strain	Shannon diversity	CAMI_low_S001	2.0822879184699703
Gold standard	strain	Shannon equitability	CAMI_low_S001	0.5085766199754966
Gold standard	species	F1 score	CAMI_low_S001	1.0
Gold standard	species	False negatives	CAMI_low_S001	0.0
Gold standard	species	False positives	CAMI_low_S001	0.0
Gold standard	species	Jaccard index	CAMI_low_S001	1.0
Gold standard	species	Taxon counts	CAMI_low_S001	23.0
Gold standard	species	Purity (precision)	CAMI_low_S001	1.0
Gold standard	species	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	species	True positives	CAMI_low_S001	23.0
Gold standard	order	F1 score	CAMI_low_S001	1.0
Gold standard	order	False negatives	CAMI_low_S001	0.0
Gold standard	order	False positives	CAMI_low_S001	0.0
Gold standard	order	Jaccard index	CAMI_low_S001	1.0
Gold standard	order	Taxon counts	CAMI_low_S001	14.0
Gold standard	order	Purity (precision)	CAMI_low_S001	1.0
Gold standard	order	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	order	True positives	CAMI_low_S001	14.0
Gold standard	phylum	F1 score	CAMI_low_S001	1.0
Gold standard	phylum	False negatives	CAMI_low_S001	0.0
Gold standard	phylum	False positives	CAMI_low_S001	0.0
Gold standard	phylum	Jaccard index	CAMI_low_S001	1.0
Gold standard	phylum	Taxon counts	CAMI_low_S001	6.0
Gold standard	phylum	Purity (precision)	CAMI_low_S001	1.0
Gold standard	phylum	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	phylum	True positives	CAMI_low_S001	6.0
Gold standard	genus	F1 score	CAMI_low_S001	1.0
Gold standard	genus	False negatives	CAMI_low_S001	0.0
Gold standard	genus	False positives	CAMI_low_S001	0.0
Gold standard	genus	Jaccard index	CAMI_low_S001	1.0
Gold standard	genus	Taxon counts	CAMI_low_S001	22.0
Gold standard	genus	Purity (precision)	CAMI_low_S001	1.0
Gold standard	genus	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	genus	True positives	CAMI_low_S001	22.0
Gold standard	family	F1 score	CAMI_low_S001	1.0
Gold standard	family	False negatives	CAMI_low_S001	0.0
Gold standard	family	False positives	CAMI_low_S001	0.0
Gold standard	family	Jaccard index	CAMI_low_S001	1.0
Gold standard	family	Taxon counts	CAMI_low_S001	16.0
Gold standard	family	Purity (precision)	CAMI_low_S001	1.0
Gold standard	family	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	family	True positives	CAMI_low_S001	16.0
Gold standard	class	F1 score	CAMI_low_S001	1.0
Gold standard	class	False negatives	CAMI_low_S001	0.0
Gold standard	class	False positives	CAMI_low_S001	0.0
Gold standard	class	Jaccard index	CAMI_low_S001	1.0
Gold standard	class	Taxon counts	CAMI_low_S001	12.0
Gold standard	class	Purity (precision)	CAMI_low_S001	1.0
Gold standard	class	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	class	True positives	CAMI_low_S001	12.0
Gold standard	strain	F1 score	CAMI_low_S001	1.0
Gold standard	strain	False negatives	CAMI_low_S001	0.0
Gold standard	strain	False positives	CAMI_low_S001	0.0
Gold standard	strain	Jaccard index	CAMI_low_S001	1.0
Gold standard	strain	Taxon counts	CAMI_low_S001	60.0
Gold standard	strain	Purity (precision)	CAMI_low_S001	1.0
Gold standard	strain	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	strain	True positives	CAMI_low_S001	60.0
Gold standard	superkingdom	F1 score	CAMI_low_S001	1.0
Gold standard	superkingdom	False negatives	CAMI_low_S001	0.0
Gold standard	superkingdom	False positives	CAMI_low_S001	0.0
Gold standard	superkingdom	Jaccard index	CAMI_low_S001	1.0
Gold standard	superkingdom	Taxon counts	CAMI_low_S001	2.0
Gold standard	superkingdom	Purity (precision)	CAMI_low_S001	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	superkingdom	True positives	CAMI_low_S001	2.0
Gold standard	class	L1 norm error	CAMI_low_S001	0.0
Gold standard	family	L1 norm error	CAMI_low_S001	0.0
Gold standard	genus	L1 norm error	CAMI_low_S001	0.0
Gold standard	order	L1 norm error	CAMI_low_S001	0.0
Gold standard	phylum	L1 norm error	CAMI_low_S001	0.0
Gold standard	species	L1 norm error	CAMI_low_S001	0.0
Gold standard	strain	L1 norm error	CAMI_low_S001	0.0
Gold standard	superkingdom	L1 norm error	CAMI_low_S001	0.0
Gold standard	na	Weighted UniFrac error	CAMI_low_S001	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_low_S001	0.0
Metalign	class	Bray-Curtis distance	CAMI_low_S001	0.31328311761932937
Metalign	family	Bray-Curtis distance	CAMI_low_S001	0.36036488981264164
Metalign	genus	Bray-Curtis distance	CAMI_low_S001	0.28955630865227505
Metalign	order	Bray-Curtis distance	CAMI_low_S001	0.4451911709221632
Metalign	phylum	Bray-Curtis distance	CAMI_low_S001	0.1568329568981019
Metalign	species	Bray-Curtis distance	CAMI_low_S001	0.7731859744075105
Metalign	strain	Bray-Curtis distance	CAMI_low_S001	0.9203504778971324
Metalign	superkingdom	Bray-Curtis distance	CAMI_low_S001	0.1816596319526703
Metalign	superkingdom	Shannon diversity	CAMI_low_S001	0.0009557608670783588
Metalign	superkingdom	Shannon equitability	CAMI_low_S001	0.001378871463209684
Metalign	phylum	Shannon diversity	CAMI_low_S001	1.6510339508687806
Metalign	phylum	Shannon equitability	CAMI_low_S001	0.9214595927767564
Metalign	class	Shannon diversity	CAMI_low_S001	2.234802469660449
Metalign	class	Shannon equitability	CAMI_low_S001	0.8993506737370238
Metalign	order	Shannon diversity	CAMI_low_S001	2.317629024989259
Metalign	order	Shannon equitability	CAMI_low_S001	0.8180213572166745
Metalign	family	Shannon diversity	CAMI_low_S001	2.2513509655879576
Metalign	family	Shannon equitability	CAMI_low_S001	0.6994215024371563
Metalign	genus	Shannon diversity	CAMI_low_S001	2.4395389853836695
Metalign	genus	Shannon equitability	CAMI_low_S001	0.697707338679541
Metalign	species	Shannon diversity	CAMI_low_S001	2.5531041950093005
Metalign	species	Shannon equitability	CAMI_low_S001	0.5380696975090318
Metalign	strain	Shannon diversity	CAMI_low_S001	2.553104195009301
Metalign	strain	Shannon equitability	CAMI_low_S001	0.5380696975090319
Metalign	species	F1 score	CAMI_low_S001	0.27536231884057966
Metalign	species	False negatives	CAMI_low_S001	4.0
Metalign	species	False positives	CAMI_low_S001	96.0
Metalign	species	Jaccard index	CAMI_low_S001	0.15966386554621848
Metalign	species	Taxon counts	CAMI_low_S001	115.0
Metalign	species	Purity (precision)	CAMI_low_S001	0.16521739130434782
Metalign	species	Completeness (recall)	CAMI_low_S001	0.8260869565217391
Metalign	species	True positives	CAMI_low_S001	19.0
Metalign	order	F1 score	CAMI_low_S001	0.7741935483870968
Metalign	order	False negatives	CAMI_low_S001	2.0
Metalign	order	False positives	CAMI_low_S001	5.0
Metalign	order	Jaccard index	CAMI_low_S001	0.631578947368421
Metalign	order	Taxon counts	CAMI_low_S001	17.0
Metalign	order	Purity (precision)	CAMI_low_S001	0.7058823529411765
Metalign	order	Completeness (recall)	CAMI_low_S001	0.8571428571428571
Metalign	order	True positives	CAMI_low_S001	12.0
Metalign	phylum	F1 score	CAMI_low_S001	1.0
Metalign	phylum	False negatives	CAMI_low_S001	0.0
Metalign	phylum	False positives	CAMI_low_S001	0.0
Metalign	phylum	Jaccard index	CAMI_low_S001	1.0
Metalign	phylum	Taxon counts	CAMI_low_S001	6.0
Metalign	phylum	Purity (precision)	CAMI_low_S001	1.0
Metalign	phylum	Completeness (recall)	CAMI_low_S001	1.0
Metalign	phylum	True positives	CAMI_low_S001	6.0
Metalign	genus	F1 score	CAMI_low_S001	0.6909090909090909
Metalign	genus	False negatives	CAMI_low_S001	3.0
Metalign	genus	False positives	CAMI_low_S001	14.0
Metalign	genus	Jaccard index	CAMI_low_S001	0.5277777777777778
Metalign	genus	Taxon counts	CAMI_low_S001	33.0
Metalign	genus	Purity (precision)	CAMI_low_S001	0.5757575757575758
Metalign	genus	Completeness (recall)	CAMI_low_S001	0.8636363636363636
Metalign	genus	True positives	CAMI_low_S001	19.0
Metalign	family	F1 score	CAMI_low_S001	0.7317073170731707
Metalign	family	False negatives	CAMI_low_S001	1.0
Metalign	family	False positives	CAMI_low_S001	10.0
Metalign	family	Jaccard index	CAMI_low_S001	0.5769230769230769
Metalign	family	Taxon counts	CAMI_low_S001	25.0
Metalign	family	Purity (precision)	CAMI_low_S001	0.6
Metalign	family	Completeness (recall)	CAMI_low_S001	0.9375
Metalign	family	True positives	CAMI_low_S001	15.0
Metalign	class	F1 score	CAMI_low_S001	0.9166666666666666
Metalign	class	False negatives	CAMI_low_S001	1.0
Metalign	class	False positives	CAMI_low_S001	1.0
