tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	family	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	order	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	species	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_MED_S002	0.76141303563941
Gold standard	superkingdom	Shannon equitability	CAMI_MED_S002	0.6930680127040091
Gold standard	phylum	Shannon diversity	CAMI_MED_S002	1.4256906043975879
Gold standard	phylum	Shannon equitability	CAMI_MED_S002	0.7956930764885641
Gold standard	class	Shannon diversity	CAMI_MED_S002	2.05930232895116
Gold standard	class	Shannon equitability	CAMI_MED_S002	0.760437279971028
Gold standard	order	Shannon diversity	CAMI_MED_S002	2.5341527837231417
Gold standard	order	Shannon equitability	CAMI_MED_S002	0.752578006706741
Gold standard	family	Shannon diversity	CAMI_MED_S002	3.0522957723207904
Gold standard	family	Shannon equitability	CAMI_MED_S002	0.7687837163565077
Gold standard	genus	Shannon diversity	CAMI_MED_S002	3.2216222198393085
Gold standard	genus	Shannon equitability	CAMI_MED_S002	0.7557739057982944
Gold standard	species	Shannon diversity	CAMI_MED_S002	1.8901387952912099
Gold standard	species	Shannon equitability	CAMI_MED_S002	0.4419654802807191
Gold standard	strain	Shannon diversity	CAMI_MED_S002	3.977568824024011
Gold standard	strain	Shannon equitability	CAMI_MED_S002	0.7302663140534644
Gold standard	family	F1 score	CAMI_MED_S002	1.0
Gold standard	family	False negatives	CAMI_MED_S002	0.0
Gold standard	family	False positives	CAMI_MED_S002	0.0
Gold standard	family	Jaccard index	CAMI_MED_S002	1.0
Gold standard	family	Taxon counts	CAMI_MED_S002	53.0
Gold standard	family	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	family	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	family	True positives	CAMI_MED_S002	53.0
Gold standard	genus	F1 score	CAMI_MED_S002	1.0
Gold standard	genus	False negatives	CAMI_MED_S002	0.0
Gold standard	genus	False positives	CAMI_MED_S002	0.0
Gold standard	genus	Jaccard index	CAMI_MED_S002	1.0
Gold standard	genus	Taxon counts	CAMI_MED_S002	71.0
Gold standard	genus	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	genus	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	genus	True positives	CAMI_MED_S002	71.0
Gold standard	phylum	F1 score	CAMI_MED_S002	1.0
Gold standard	phylum	False negatives	CAMI_MED_S002	0.0
Gold standard	phylum	False positives	CAMI_MED_S002	0.0
Gold standard	phylum	Jaccard index	CAMI_MED_S002	1.0
Gold standard	phylum	Taxon counts	CAMI_MED_S002	6.0
Gold standard	phylum	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	phylum	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	phylum	True positives	CAMI_MED_S002	6.0
Gold standard	superkingdom	F1 score	CAMI_MED_S002	1.0
Gold standard	superkingdom	False negatives	CAMI_MED_S002	0.0
Gold standard	superkingdom	False positives	CAMI_MED_S002	0.0
Gold standard	superkingdom	Jaccard index	CAMI_MED_S002	1.0
Gold standard	superkingdom	Taxon counts	CAMI_MED_S002	3.0
Gold standard	superkingdom	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	superkingdom	True positives	CAMI_MED_S002	3.0
Gold standard	class	F1 score	CAMI_MED_S002	1.0
Gold standard	class	False negatives	CAMI_MED_S002	0.0
Gold standard	class	False positives	CAMI_MED_S002	0.0
Gold standard	class	Jaccard index	CAMI_MED_S002	1.0
Gold standard	class	Taxon counts	CAMI_MED_S002	15.0
Gold standard	class	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	class	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	class	True positives	CAMI_MED_S002	15.0
Gold standard	order	F1 score	CAMI_MED_S002	1.0
Gold standard	order	False negatives	CAMI_MED_S002	0.0
Gold standard	order	False positives	CAMI_MED_S002	0.0
Gold standard	order	Jaccard index	CAMI_MED_S002	1.0
Gold standard	order	Taxon counts	CAMI_MED_S002	29.0
Gold standard	order	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	order	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	order	True positives	CAMI_MED_S002	29.0
Gold standard	strain	F1 score	CAMI_MED_S002	1.0
Gold standard	strain	False negatives	CAMI_MED_S002	0.0
Gold standard	strain	False positives	CAMI_MED_S002	0.0
Gold standard	strain	Jaccard index	CAMI_MED_S002	1.0
Gold standard	strain	Taxon counts	CAMI_MED_S002	232.0
Gold standard	strain	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	strain	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	strain	True positives	CAMI_MED_S002	232.0
Gold standard	species	F1 score	CAMI_MED_S002	1.0
Gold standard	species	False negatives	CAMI_MED_S002	0.0
Gold standard	species	False positives	CAMI_MED_S002	0.0
Gold standard	species	Jaccard index	CAMI_MED_S002	1.0
Gold standard	species	Taxon counts	CAMI_MED_S002	72.0
Gold standard	species	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	species	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	species	True positives	CAMI_MED_S002	72.0
Gold standard	class	L1 norm error	CAMI_MED_S002	0.0
Gold standard	family	L1 norm error	CAMI_MED_S002	0.0
Gold standard	genus	L1 norm error	CAMI_MED_S002	0.0
Gold standard	order	L1 norm error	CAMI_MED_S002	0.0
Gold standard	phylum	L1 norm error	CAMI_MED_S002	0.0
Gold standard	species	L1 norm error	CAMI_MED_S002	0.0
Gold standard	strain	L1 norm error	CAMI_MED_S002	0.0
Gold standard	superkingdom	L1 norm error	CAMI_MED_S002	0.0
Gold standard	na	Weighted UniFrac error	CAMI_MED_S002	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_MED_S002	0.0
Metalign	class	Bray-Curtis distance	CAMI_MED_S002	0.13562600977638836
Metalign	family	Bray-Curtis distance	CAMI_MED_S002	0.17232954166073194
Metalign	genus	Bray-Curtis distance	CAMI_MED_S002	0.21242731542270443
Metalign	order	Bray-Curtis distance	CAMI_MED_S002	0.3928753170307793
Metalign	phylum	Bray-Curtis distance	CAMI_MED_S002	0.11575034597278581
Metalign	species	Bray-Curtis distance	CAMI_MED_S002	0.7711353380520529
Metalign	strain	Bray-Curtis distance	CAMI_MED_S002	0.9505866046928374
Metalign	superkingdom	Bray-Curtis distance	CAMI_MED_S002	0.33169866001467313
Metalign	superkingdom	Shannon diversity	CAMI_MED_S002	0.11486612558790985
Metalign	superkingdom	Shannon equitability	CAMI_MED_S002	0.10455565332076022
Metalign	phylum	Shannon diversity	CAMI_MED_S002	1.3151535759589528
Metalign	phylum	Shannon equitability	CAMI_MED_S002	0.7340011862895645
Metalign	class	Shannon diversity	CAMI_MED_S002	1.9675862469082948
Metalign	class	Shannon equitability	CAMI_MED_S002	0.7096567302339811
Metalign	order	Shannon diversity	CAMI_MED_S002	2.74288580408373
Metalign	order	Shannon equitability	CAMI_MED_S002	0.7987466582581422
Metalign	family	Shannon diversity	CAMI_MED_S002	3.0343124076181183
Metalign	family	Shannon equitability	CAMI_MED_S002	0.7796640582534592
Metalign	genus	Shannon diversity	CAMI_MED_S002	3.3540357662372333
Metalign	genus	Shannon equitability	CAMI_MED_S002	0.7676108926082092
Metalign	species	Shannon diversity	CAMI_MED_S002	3.5831879431316747
Metalign	species	Shannon equitability	CAMI_MED_S002	0.6256824174592948
Metalign	strain	Shannon diversity	CAMI_MED_S002	3.5831879431316755
Metalign	strain	Shannon equitability	CAMI_MED_S002	0.625682417459295
Metalign	family	F1 score	CAMI_MED_S002	0.8627450980392157
Metalign	family	False negatives	CAMI_MED_S002	9.0
Metalign	family	False positives	CAMI_MED_S002	5.0
Metalign	family	Jaccard index	CAMI_MED_S002	0.7586206896551724
Metalign	family	Taxon counts	CAMI_MED_S002	49.0
Metalign	family	Purity (precision)	CAMI_MED_S002	0.8979591836734694
Metalign	family	Completeness (recall)	CAMI_MED_S002	0.8301886792452831
Metalign	family	True positives	CAMI_MED_S002	44.0
Metalign	genus	F1 score	CAMI_MED_S002	0.8
Metalign	genus	False negatives	CAMI_MED_S002	11.0
Metalign	genus	False positives	CAMI_MED_S002	19.0
Metalign	genus	Jaccard index	CAMI_MED_S002	0.6666666666666666
Metalign	genus	Taxon counts	CAMI_MED_S002	79.0
Metalign	genus	Purity (precision)	CAMI_MED_S002	0.759493670886076
Metalign	genus	Completeness (recall)	CAMI_MED_S002	0.8450704225352113
Metalign	genus	True positives	CAMI_MED_S002	60.0
Metalign	phylum	F1 score	CAMI_MED_S002	1.0
Metalign	phylum	False negatives	CAMI_MED_S002	0.0
Metalign	phylum	False positives	CAMI_MED_S002	0.0
Metalign	phylum	Jaccard index	CAMI_MED_S002	1.0
Metalign	phylum	Taxon counts	CAMI_MED_S002	6.0
Metalign	phylum	Purity (precision)	CAMI_MED_S002	1.0
Metalign	phylum	Completeness (recall)	CAMI_MED_S002	1.0
Metalign	phylum	True positives	CAMI_MED_S002	6.0
Metalign	superkingdom	F1 score	CAMI_MED_S002	1.0
Metalign	superkingdom	False negatives	CAMI_MED_S002	0.0
Metalign	superkingdom	False positives	CAMI_MED_S002	0.0
Metalign	superkingdom	Jaccard index	CAMI_MED_S002	1.0
Metalign	superkingdom	Taxon counts	CAMI_MED_S002	3.0
Metalign	superkingdom	Purity (precision)	CAMI_MED_S002	1.0
Metalign	superkingdom	Completeness (recall)	CAMI_MED_S002	1.0
Metalign	superkingdom	True positives	CAMI_MED_S002	3.0
Metalign	class	F1 score	CAMI_MED_S002	0.967741935483871
Metalign	class	False negatives	CAMI_MED_S002	0.0
Metalign	class	False positives	CAMI_MED_S002	1.0
Metalign	class	Jaccard index	CAMI_MED_S002	0.9375
Metalign	class	Taxon counts	CAMI_MED_S002	16.0
Metalign	class	Purity (precision)	CAMI_MED_S002	0.9375
Metalign	class	Completeness (recall)	CAMI_MED_S002	1.0
Metalign	class	True positives	CAMI_MED_S002	15.0
Metalign	order	F1 score	CAMI_MED_S002	0.8333333333333334
Metalign	order	False negatives	CAMI_MED_S002	4.0
Metalign	order	False positives	CAMI_MED_S002	6.0
Metalign	order	Jaccard index	CAMI_MED_S002	0.7142857142857143
Metalign	order	Taxon counts	CAMI_MED_S002	31.0
Metalign	order	Purity (precision)	CAMI_MED_S002	0.8064516129032258
Metalign	order	Completeness (recall)	CAMI_MED_S002	0.8620689655172413
Metalign	order	True positives	CAMI_MED_S002	25.0
Metalign	strain	F1 score	CAMI_MED_S002	0.04823747680890538
Metalign	strain	False negatives	CAMI_MED_S002	219.0
Metalign	strain	False positives	CAMI_MED_S002	294.0
Metalign	strain	Jaccard index	CAMI_MED_S002	0.024714828897338403
Metalign	strain	Taxon counts	CAMI_MED_S002	307.0
Metalign	strain	Purity (precision)	CAMI_MED_S002	0.04234527687296417
Metalign	strain	Completeness (recall)	CAMI_MED_S002	0.05603448275862069
Metalign	strain	True positives	CAMI_MED_S002	13.0
Metalign	species	F1 score	CAMI_MED_S002	0.2532981530343008
