tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	family	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	order	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	species	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_HIGH_S004	0.06873000877546731
Gold standard	superkingdom	Shannon equitability	CAMI_HIGH_S004	0.09915644282062162
Gold standard	phylum	Shannon diversity	CAMI_HIGH_S004	1.338485225191389
Gold standard	phylum	Shannon equitability	CAMI_HIGH_S004	0.5386460796447149
Gold standard	class	Shannon diversity	CAMI_HIGH_S004	2.140571182516084
Gold standard	class	Shannon equitability	CAMI_HIGH_S004	0.7030893108203601
Gold standard	order	Shannon diversity	CAMI_HIGH_S004	2.7616607787511613
Gold standard	order	Shannon equitability	CAMI_HIGH_S004	0.7486448969405286
Gold standard	family	Shannon diversity	CAMI_HIGH_S004	3.728430574374636
Gold standard	family	Shannon equitability	CAMI_HIGH_S004	0.8327339954229356
Gold standard	genus	Shannon diversity	CAMI_HIGH_S004	4.560848606005164
Gold standard	genus	Shannon equitability	CAMI_HIGH_S004	0.8657880429370034
Gold standard	species	Shannon diversity	CAMI_HIGH_S004	1.9752487345988399
Gold standard	species	Shannon equitability	CAMI_HIGH_S004	0.35958977611537746
Gold standard	strain	Shannon diversity	CAMI_HIGH_S004	6.595741391941308
Gold standard	strain	Shannon equitability	CAMI_HIGH_S004	0.9450643498571217
Gold standard	order	F1 score	CAMI_HIGH_S004	1.0
Gold standard	order	False negatives	CAMI_HIGH_S004	0.0
Gold standard	order	False positives	CAMI_HIGH_S004	0.0
Gold standard	order	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	order	Taxon counts	CAMI_HIGH_S004	40.0
Gold standard	order	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	order	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	order	True positives	CAMI_HIGH_S004	40.0
Gold standard	strain	F1 score	CAMI_HIGH_S004	1.0
Gold standard	strain	False negatives	CAMI_HIGH_S004	0.0
Gold standard	strain	False positives	CAMI_HIGH_S004	0.0
Gold standard	strain	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	strain	Taxon counts	CAMI_HIGH_S004	1074.0
Gold standard	strain	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	strain	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	strain	True positives	CAMI_HIGH_S004	1074.0
Gold standard	phylum	F1 score	CAMI_HIGH_S004	1.0
Gold standard	phylum	False negatives	CAMI_HIGH_S004	0.0
Gold standard	phylum	False positives	CAMI_HIGH_S004	0.0
Gold standard	phylum	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	phylum	Taxon counts	CAMI_HIGH_S004	12.0
Gold standard	phylum	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	phylum	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	phylum	True positives	CAMI_HIGH_S004	12.0
Gold standard	class	F1 score	CAMI_HIGH_S004	1.0
Gold standard	class	False negatives	CAMI_HIGH_S004	0.0
Gold standard	class	False positives	CAMI_HIGH_S004	0.0
Gold standard	class	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	class	Taxon counts	CAMI_HIGH_S004	21.0
Gold standard	class	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	class	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	class	True positives	CAMI_HIGH_S004	21.0
Gold standard	species	F1 score	CAMI_HIGH_S004	1.0
Gold standard	species	False negatives	CAMI_HIGH_S004	0.0
Gold standard	species	False positives	CAMI_HIGH_S004	0.0
Gold standard	species	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	species	Taxon counts	CAMI_HIGH_S004	243.0
Gold standard	species	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	species	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	species	True positives	CAMI_HIGH_S004	243.0
Gold standard	genus	F1 score	CAMI_HIGH_S004	1.0
Gold standard	genus	False negatives	CAMI_HIGH_S004	0.0
Gold standard	genus	False positives	CAMI_HIGH_S004	0.0
Gold standard	genus	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	genus	Taxon counts	CAMI_HIGH_S004	194.0
Gold standard	genus	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	genus	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	genus	True positives	CAMI_HIGH_S004	194.0
Gold standard	family	F1 score	CAMI_HIGH_S004	1.0
Gold standard	family	False negatives	CAMI_HIGH_S004	0.0
Gold standard	family	False positives	CAMI_HIGH_S004	0.0
Gold standard	family	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	family	Taxon counts	CAMI_HIGH_S004	88.0
Gold standard	family	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	family	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	family	True positives	CAMI_HIGH_S004	88.0
Gold standard	superkingdom	F1 score	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	False negatives	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	False positives	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	Taxon counts	CAMI_HIGH_S004	2.0
Gold standard	superkingdom	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	True positives	CAMI_HIGH_S004	2.0
Gold standard	class	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	family	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	genus	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	order	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	phylum	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	species	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	strain	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	na	Weighted UniFrac error	CAMI_HIGH_S004	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_HIGH_S004	0.0
Metalign	class	Bray-Curtis distance	CAMI_HIGH_S004	0.08799960315491628
Metalign	family	Bray-Curtis distance	CAMI_HIGH_S004	0.15604815133242847
Metalign	genus	Bray-Curtis distance	CAMI_HIGH_S004	0.23488858546624417
Metalign	order	Bray-Curtis distance	CAMI_HIGH_S004	0.3507504072448612
Metalign	phylum	Bray-Curtis distance	CAMI_HIGH_S004	0.038745454556367666
Metalign	species	Bray-Curtis distance	CAMI_HIGH_S004	0.8846152655747674
Metalign	strain	Bray-Curtis distance	CAMI_HIGH_S004	0.9650391048826852
Metalign	superkingdom	Bray-Curtis distance	CAMI_HIGH_S004	0.015624707477114757
Metalign	superkingdom	Shannon diversity	CAMI_HIGH_S004	0.12020909536508137
Metalign	superkingdom	Shannon equitability	CAMI_HIGH_S004	0.08671253287647569
Metalign	phylum	Shannon diversity	CAMI_HIGH_S004	1.230343588173206
Metalign	phylum	Shannon equitability	CAMI_HIGH_S004	0.49512668344228256
Metalign	class	Shannon diversity	CAMI_HIGH_S004	2.1031478909347334
Metalign	class	Shannon equitability	CAMI_HIGH_S004	0.6533796285915592
Metalign	order	Shannon diversity	CAMI_HIGH_S004	2.969683982706961
Metalign	order	Shannon equitability	CAMI_HIGH_S004	0.7479762313119335
Metalign	family	Shannon diversity	CAMI_HIGH_S004	3.6143180688272327
Metalign	family	Shannon equitability	CAMI_HIGH_S004	0.7900647900623565
Metalign	genus	Shannon diversity	CAMI_HIGH_S004	4.403845670743982
Metalign	genus	Shannon equitability	CAMI_HIGH_S004	0.8335559060100715
Metalign	species	Shannon diversity	CAMI_HIGH_S004	6.203159854275961
Metalign	species	Shannon equitability	CAMI_HIGH_S004	0.9271119534847625
Metalign	strain	Shannon diversity	CAMI_HIGH_S004	6.203159854275953
Metalign	strain	Shannon equitability	CAMI_HIGH_S004	0.9271119534847613
Metalign	order	F1 score	CAMI_HIGH_S004	0.7956989247311829
Metalign	order	False negatives	CAMI_HIGH_S004	3.0
Metalign	order	False positives	CAMI_HIGH_S004	16.0
Metalign	order	Jaccard index	CAMI_HIGH_S004	0.6607142857142857
Metalign	order	Taxon counts	CAMI_HIGH_S004	53.0
Metalign	order	Purity (precision)	CAMI_HIGH_S004	0.6981132075471698
Metalign	order	Completeness (recall)	CAMI_HIGH_S004	0.925
Metalign	order	True positives	CAMI_HIGH_S004	37.0
Metalign	strain	F1 score	CAMI_HIGH_S004	0.06279936136242682
Metalign	strain	False negatives	CAMI_HIGH_S004	1015.0
Metalign	strain	False positives	CAMI_HIGH_S004	746.0
Metalign	strain	Jaccard index	CAMI_HIGH_S004	0.03241758241758242
Metalign	strain	Taxon counts	CAMI_HIGH_S004	805.0
