@SampleID:CAMI_low_S001
@Version:CLARK
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	16.21437
201174	phylum	2|201174	Bacteria|Actinobacteria	2.69642
1224	phylum	2|1224	Bacteria|Proteobacteria	11.15924
976	phylum	2|976	Bacteria|Bacteroidetes	0.29203
1239	phylum	2|1239	Bacteria|Firmicutes	1.98601
200795	phylum	2|200795	Bacteria|Chloroflexi	0.01736
203682	phylum	2|203682	Bacteria|Planctomycetes	0.01185
544448	phylum	2|544448	Bacteria|Tenericutes	0.01214
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	2.67584
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	4.52214
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	0.01825
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	1.56233
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	2.41399
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	0.01747
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	0.14969
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	2.82213
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	0.35211
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	0.01082
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	0.01583
1853228	class	2|976|1853228	Bacteria|Bacteroidetes|Chitinophagia	0.08915
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	1.39230
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	0.06243
388447	class	2|200795|388447	Bacteria|Chloroflexi|Ktedonobacteria	0.01335
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	1.59783
85008	order	2|201174|1760|85008	Bacteria|Actinobacteria|Actinobacteria|Micromonosporales	0.04383
85007	order	2|201174|1760|85007	Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales	0.29577
768507	order	2|976|768503|768507	Bacteria|Bacteroidetes|Cytophagia|Cytophagales	0.01825
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	1.54444
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	2.28612
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	0.01789
200666	order	2|976|117747|200666	Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	0.01747
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0.14969
