# Taxonomic profile for the file: timing/results/metaphlan2_results_RM2_S001.txt
@Version:0.9.1
@SampleID:CAMI_MED_S001
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	91.696400
10239	superkingdom	10239	Viruses	7.732130
2157	superkingdom	2157	Archaea	0.571470
1224	phylum	2|1224	Bacteria|Proteobacteria	56.887870
1239	phylum	2|1239	Bacteria|Firmicutes	32.558410
201174	phylum	2|201174	Bacteria|Actinobacteria	1.608630
976	phylum	2|976	Bacteria|Bacteroidetes	0.641490
28890	phylum	2157|28890	Archaea|Euryarchaeota	0.571470
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	39.867870
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	23.700820
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	14.542360
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	8.857590
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	2.289680
183967	class	2157|28890|183967	Archaea|Euryarchaeota|Thermoplasmata	0.510050
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	0.498040
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	0.187960
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	0.143450
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	0.061420
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	28.722740
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	14.485260
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	12.108540
68295	order	2|1239|186801|68295	Bacteria|Firmicutes|Clostridia|Thermoanaerobacterales	11.592280
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	9.375950
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	8.056860
28883	order	10239|||28883	Viruses|||Caudovirales	7.732130
213115	order	2|1224|28221|213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	2.289680
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	1.625830
2037	order	2|201174|1760|2037	Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	1.608630
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	0.800740
2301	order	2157|28890|183967|2301	Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales	0.510050
200666	order	2|976|117747|200666	Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	0.498040
135623	order	2|1224|1236|135623	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales	0.183000
171549	order	2|976|200643|171549	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	0.143450
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0.137720
2235	order	2157|28890|183963|2235	Archaea|Euryarchaeota|Halobacteria|Halobacteriales	0.061420
32003	order	2|1224|28216|32003	Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	0.045930
