@SampleID:CAMI_HIGH_S005
@Version:CLARK
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	93.83618
1224	phylum	2|1224	Bacteria|Proteobacteria	50.78515
201174	phylum	2|201174	Bacteria|Actinobacteria	19.88869
976	phylum	2|976	Bacteria|Bacteroidetes	23.16234
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	8.96530
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	41.81985
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	19.62580
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	23.16234
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	0.26289
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	8.96530
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	40.69768
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	19.62580
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	23.16234
204458	order	2|1224|28211|204458	Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	1.12217
84993	order	2|201174|84992|84993	Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	0.26289
41297	family	2|1224|28211|204457|41297	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae	40.69768
85023	family	2|201174|1760|85006|85023	Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae	19.62580
49546	family	2|976|117743|200644|49546	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	23.16234
