tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	family	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	order	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	species	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_HIGH_S004	0.06873000877546731
Gold standard	superkingdom	Shannon equitability	CAMI_HIGH_S004	0.09915644282062162
Gold standard	phylum	Shannon diversity	CAMI_HIGH_S004	1.3384852251913892
Gold standard	phylum	Shannon equitability	CAMI_HIGH_S004	0.538646079644715
Gold standard	class	Shannon diversity	CAMI_HIGH_S004	2.140571182516083
Gold standard	class	Shannon equitability	CAMI_HIGH_S004	0.7030893108203597
Gold standard	order	Shannon diversity	CAMI_HIGH_S004	2.7616607787511627
Gold standard	order	Shannon equitability	CAMI_HIGH_S004	0.748644896940529
Gold standard	family	Shannon diversity	CAMI_HIGH_S004	3.728430574374636
Gold standard	family	Shannon equitability	CAMI_HIGH_S004	0.8327339954229356
Gold standard	genus	Shannon diversity	CAMI_HIGH_S004	4.56084860600516
Gold standard	genus	Shannon equitability	CAMI_HIGH_S004	0.8657880429370025
Gold standard	species	Shannon diversity	CAMI_HIGH_S004	1.9752487345988405
Gold standard	species	Shannon equitability	CAMI_HIGH_S004	0.35958977611537757
Gold standard	strain	Shannon diversity	CAMI_HIGH_S004	6.59574139194131
Gold standard	strain	Shannon equitability	CAMI_HIGH_S004	0.945064349857122
Gold standard	genus	F1 score	CAMI_HIGH_S004	1.0
Gold standard	genus	False negatives	CAMI_HIGH_S004	0.0
Gold standard	genus	False positives	CAMI_HIGH_S004	0.0
Gold standard	genus	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	genus	Taxon counts	CAMI_HIGH_S004	194.0
Gold standard	genus	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	genus	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	genus	True positives	CAMI_HIGH_S004	194.0
Gold standard	order	F1 score	CAMI_HIGH_S004	1.0
Gold standard	order	False negatives	CAMI_HIGH_S004	0.0
Gold standard	order	False positives	CAMI_HIGH_S004	0.0
Gold standard	order	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	order	Taxon counts	CAMI_HIGH_S004	40.0
Gold standard	order	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	order	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	order	True positives	CAMI_HIGH_S004	40.0
Gold standard	species	F1 score	CAMI_HIGH_S004	1.0
Gold standard	species	False negatives	CAMI_HIGH_S004	0.0
Gold standard	species	False positives	CAMI_HIGH_S004	0.0
Gold standard	species	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	species	Taxon counts	CAMI_HIGH_S004	243.0
Gold standard	species	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	species	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	species	True positives	CAMI_HIGH_S004	243.0
Gold standard	strain	F1 score	CAMI_HIGH_S004	1.0
Gold standard	strain	False negatives	CAMI_HIGH_S004	0.0
Gold standard	strain	False positives	CAMI_HIGH_S004	0.0
Gold standard	strain	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	strain	Taxon counts	CAMI_HIGH_S004	1074.0
Gold standard	strain	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	strain	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	strain	True positives	CAMI_HIGH_S004	1074.0
Gold standard	phylum	F1 score	CAMI_HIGH_S004	1.0
Gold standard	phylum	False negatives	CAMI_HIGH_S004	0.0
Gold standard	phylum	False positives	CAMI_HIGH_S004	0.0
Gold standard	phylum	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	phylum	Taxon counts	CAMI_HIGH_S004	12.0
Gold standard	phylum	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	phylum	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	phylum	True positives	CAMI_HIGH_S004	12.0
Gold standard	class	F1 score	CAMI_HIGH_S004	1.0
Gold standard	class	False negatives	CAMI_HIGH_S004	0.0
Gold standard	class	False positives	CAMI_HIGH_S004	0.0
Gold standard	class	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	class	Taxon counts	CAMI_HIGH_S004	21.0
Gold standard	class	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	class	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	class	True positives	CAMI_HIGH_S004	21.0
Gold standard	family	F1 score	CAMI_HIGH_S004	1.0
Gold standard	family	False negatives	CAMI_HIGH_S004	0.0
Gold standard	family	False positives	CAMI_HIGH_S004	0.0
Gold standard	family	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	family	Taxon counts	CAMI_HIGH_S004	88.0
Gold standard	family	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	family	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	family	True positives	CAMI_HIGH_S004	88.0
Gold standard	superkingdom	F1 score	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	False negatives	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	False positives	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	Taxon counts	CAMI_HIGH_S004	2.0
Gold standard	superkingdom	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	True positives	CAMI_HIGH_S004	2.0
Gold standard	class	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	family	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	genus	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	order	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	phylum	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	species	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	strain	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	na	Weighted UniFrac error	CAMI_HIGH_S004	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_HIGH_S004	0.0
Metalign	class	Bray-Curtis distance	CAMI_HIGH_S004	0.0880406098067365
Metalign	family	Bray-Curtis distance	CAMI_HIGH_S004	0.15611092114523983
Metalign	genus	Bray-Curtis distance	CAMI_HIGH_S004	0.23514614862259353
Metalign	order	Bray-Curtis distance	CAMI_HIGH_S004	0.35079902096796206
Metalign	phylum	Bray-Curtis distance	CAMI_HIGH_S004	0.03878070852193426
Metalign	species	Bray-Curtis distance	CAMI_HIGH_S004	0.8844858534212559
Metalign	strain	Bray-Curtis distance	CAMI_HIGH_S004	0.9650391048826852
Metalign	superkingdom	Bray-Curtis distance	CAMI_HIGH_S004	0.015624707477114759
Metalign	superkingdom	Shannon diversity	CAMI_HIGH_S004	0.12020909536508137
Metalign	superkingdom	Shannon equitability	CAMI_HIGH_S004	0.08671253287647569
Metalign	phylum	Shannon diversity	CAMI_HIGH_S004	1.2310668159147655
Metalign	phylum	Shannon equitability	CAMI_HIGH_S004	0.479957552508218
Metalign	class	Shannon diversity	CAMI_HIGH_S004	2.103986862760424
Metalign	class	Shannon equitability	CAMI_HIGH_S004	0.6383771249306913
Metalign	order	Shannon diversity	CAMI_HIGH_S004	2.9708630837845083
Metalign	order	Shannon equitability	CAMI_HIGH_S004	0.7348071758129587
Metalign	family	Shannon diversity	CAMI_HIGH_S004	3.6154530635410795
Metalign	family	Shannon equitability	CAMI_HIGH_S004	0.7800786351743304
Metalign	genus	Shannon diversity	CAMI_HIGH_S004	4.408551422533868
Metalign	genus	Shannon equitability	CAMI_HIGH_S004	0.8133055912609588
Metalign	species	Shannon diversity	CAMI_HIGH_S004	6.290356967454895
Metalign	species	Shannon equitability	CAMI_HIGH_S004	0.8557707813171728
Metalign	strain	Shannon diversity	CAMI_HIGH_S004	6.290356967454902
Metalign	strain	Shannon equitability	CAMI_HIGH_S004	0.8557707813171738
Metalign	genus	F1 score	CAMI_HIGH_S004	0.7952380952380953
Metalign	genus	False negatives	CAMI_HIGH_S004	27.0
Metalign	genus	False positives	CAMI_HIGH_S004	59.0
Metalign	genus	Jaccard index	CAMI_HIGH_S004	0.6600790513833992
Metalign	genus	Taxon counts	CAMI_HIGH_S004	226.0
Metalign	genus	Purity (precision)	CAMI_HIGH_S004	0.7389380530973452
Metalign	genus	Completeness (recall)	CAMI_HIGH_S004	0.8608247422680413
Metalign	genus	True positives	CAMI_HIGH_S004	167.0
Metalign	order	F1 score	CAMI_HIGH_S004	0.7628865979381444
Metalign	order	False negatives	CAMI_HIGH_S004	3.0
Metalign	order	False positives	CAMI_HIGH_S004	20.0
Metalign	order	Jaccard index	CAMI_HIGH_S004	0.6166666666666667
Metalign	order	Taxon counts	CAMI_HIGH_S004	57.0
