tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	family	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	order	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	species	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_MED_S002	0.76141303563941
Gold standard	superkingdom	Shannon equitability	CAMI_MED_S002	0.6930680127040091
Gold standard	phylum	Shannon diversity	CAMI_MED_S002	1.4256906043975879
Gold standard	phylum	Shannon equitability	CAMI_MED_S002	0.7956930764885641
Gold standard	class	Shannon diversity	CAMI_MED_S002	2.0593023289511594
Gold standard	class	Shannon equitability	CAMI_MED_S002	0.7604372799710277
Gold standard	order	Shannon diversity	CAMI_MED_S002	2.5341527837231417
Gold standard	order	Shannon equitability	CAMI_MED_S002	0.752578006706741
Gold standard	family	Shannon diversity	CAMI_MED_S002	3.05229577232079
Gold standard	family	Shannon equitability	CAMI_MED_S002	0.7687837163565076
Gold standard	genus	Shannon diversity	CAMI_MED_S002	3.221622219839307
Gold standard	genus	Shannon equitability	CAMI_MED_S002	0.7557739057982942
Gold standard	species	Shannon diversity	CAMI_MED_S002	1.8901387952912097
Gold standard	species	Shannon equitability	CAMI_MED_S002	0.441965480280719
Gold standard	strain	Shannon diversity	CAMI_MED_S002	3.9775688240240092
Gold standard	strain	Shannon equitability	CAMI_MED_S002	0.7302663140534641
Gold standard	phylum	F1 score	CAMI_MED_S002	1.0
Gold standard	phylum	False negatives	CAMI_MED_S002	0.0
Gold standard	phylum	False positives	CAMI_MED_S002	0.0
Gold standard	phylum	Jaccard index	CAMI_MED_S002	1.0
Gold standard	phylum	Taxon counts	CAMI_MED_S002	6.0
Gold standard	phylum	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	phylum	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	phylum	True positives	CAMI_MED_S002	6.0
Gold standard	species	F1 score	CAMI_MED_S002	1.0
Gold standard	species	False negatives	CAMI_MED_S002	0.0
Gold standard	species	False positives	CAMI_MED_S002	0.0
Gold standard	species	Jaccard index	CAMI_MED_S002	1.0
Gold standard	species	Taxon counts	CAMI_MED_S002	72.0
Gold standard	species	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	species	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	species	True positives	CAMI_MED_S002	72.0
Gold standard	family	F1 score	CAMI_MED_S002	1.0
Gold standard	family	False negatives	CAMI_MED_S002	0.0
Gold standard	family	False positives	CAMI_MED_S002	0.0
Gold standard	family	Jaccard index	CAMI_MED_S002	1.0
Gold standard	family	Taxon counts	CAMI_MED_S002	53.0
Gold standard	family	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	family	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	family	True positives	CAMI_MED_S002	53.0
Gold standard	strain	F1 score	CAMI_MED_S002	1.0
Gold standard	strain	False negatives	CAMI_MED_S002	0.0
Gold standard	strain	False positives	CAMI_MED_S002	0.0
Gold standard	strain	Jaccard index	CAMI_MED_S002	1.0
Gold standard	strain	Taxon counts	CAMI_MED_S002	232.0
Gold standard	strain	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	strain	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	strain	True positives	CAMI_MED_S002	232.0
Gold standard	class	F1 score	CAMI_MED_S002	1.0
Gold standard	class	False negatives	CAMI_MED_S002	0.0
Gold standard	class	False positives	CAMI_MED_S002	0.0
Gold standard	class	Jaccard index	CAMI_MED_S002	1.0
Gold standard	class	Taxon counts	CAMI_MED_S002	15.0
Gold standard	class	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	class	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	class	True positives	CAMI_MED_S002	15.0
Gold standard	order	F1 score	CAMI_MED_S002	1.0
Gold standard	order	False negatives	CAMI_MED_S002	0.0
Gold standard	order	False positives	CAMI_MED_S002	0.0
Gold standard	order	Jaccard index	CAMI_MED_S002	1.0
Gold standard	order	Taxon counts	CAMI_MED_S002	29.0
Gold standard	order	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	order	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	order	True positives	CAMI_MED_S002	29.0
Gold standard	genus	F1 score	CAMI_MED_S002	1.0
Gold standard	genus	False negatives	CAMI_MED_S002	0.0
Gold standard	genus	False positives	CAMI_MED_S002	0.0
Gold standard	genus	Jaccard index	CAMI_MED_S002	1.0
Gold standard	genus	Taxon counts	CAMI_MED_S002	71.0
Gold standard	genus	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	genus	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	genus	True positives	CAMI_MED_S002	71.0
Gold standard	superkingdom	F1 score	CAMI_MED_S002	1.0
Gold standard	superkingdom	False negatives	CAMI_MED_S002	0.0
Gold standard	superkingdom	False positives	CAMI_MED_S002	0.0
Gold standard	superkingdom	Jaccard index	CAMI_MED_S002	1.0
Gold standard	superkingdom	Taxon counts	CAMI_MED_S002	3.0
Gold standard	superkingdom	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	superkingdom	True positives	CAMI_MED_S002	3.0
Gold standard	class	L1 norm error	CAMI_MED_S002	0.0
Gold standard	family	L1 norm error	CAMI_MED_S002	0.0
Gold standard	genus	L1 norm error	CAMI_MED_S002	0.0
Gold standard	order	L1 norm error	CAMI_MED_S002	0.0
Gold standard	phylum	L1 norm error	CAMI_MED_S002	0.0
Gold standard	species	L1 norm error	CAMI_MED_S002	0.0
Gold standard	strain	L1 norm error	CAMI_MED_S002	0.0
Gold standard	superkingdom	L1 norm error	CAMI_MED_S002	0.0
Gold standard	na	Weighted UniFrac error	CAMI_MED_S002	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_MED_S002	0.0
Metalign	class	Bray-Curtis distance	CAMI_MED_S002	0.13562600977638836
Metalign	family	Bray-Curtis distance	CAMI_MED_S002	0.17230821290115098
Metalign	genus	Bray-Curtis distance	CAMI_MED_S002	0.21240856516606302
Metalign	order	Bray-Curtis distance	CAMI_MED_S002	0.39287271220156933
Metalign	phylum	Bray-Curtis distance	CAMI_MED_S002	0.11575034597278579
Metalign	species	Bray-Curtis distance	CAMI_MED_S002	0.7711724005994325
Metalign	strain	Bray-Curtis distance	CAMI_MED_S002	0.9505866046928375
Metalign	superkingdom	Bray-Curtis distance	CAMI_MED_S002	0.33175496552788997
Metalign	superkingdom	Shannon diversity	CAMI_MED_S002	0.11425179001965118
Metalign	superkingdom	Shannon equitability	CAMI_MED_S002	0.16483049087403792
Metalign	phylum	Shannon diversity	CAMI_MED_S002	1.3151535759589525
Metalign	phylum	Shannon equitability	CAMI_MED_S002	0.7340011862895643
Metalign	class	Shannon diversity	CAMI_MED_S002	1.9675862469082945
Metalign	class	Shannon equitability	CAMI_MED_S002	0.709656730233981
Metalign	order	Shannon diversity	CAMI_MED_S002	2.742814460225537
Metalign	order	Shannon equitability	CAMI_MED_S002	0.8064261353997431
Metalign	family	Shannon diversity	CAMI_MED_S002	3.0338357642394946
Metalign	family	Shannon equitability	CAMI_MED_S002	0.7924053077996687
Metalign	genus	Shannon diversity	CAMI_MED_S002	3.353644288305758
Metalign	genus	Shannon equitability	CAMI_MED_S002	0.7791806619284029
Metalign	species	Shannon diversity	CAMI_MED_S002	3.558395551944698
Metalign	species	Shannon equitability	CAMI_MED_S002	0.7445707475593907
Metalign	strain	Shannon diversity	CAMI_MED_S002	3.5583955519446997
Metalign	strain	Shannon equitability	CAMI_MED_S002	0.744570747559391
Metalign	phylum	F1 score	CAMI_MED_S002	1.0
Metalign	phylum	False negatives	CAMI_MED_S002	0.0
Metalign	phylum	False positives	CAMI_MED_S002	0.0
Metalign	phylum	Jaccard index	CAMI_MED_S002	1.0
Metalign	phylum	Taxon counts	CAMI_MED_S002	6.0
Metalign	phylum	Purity (precision)	CAMI_MED_S002	1.0
Metalign	phylum	Completeness (recall)	CAMI_MED_S002	1.0
Metalign	phylum	True positives	CAMI_MED_S002	6.0
Metalign	species	F1 score	CAMI_MED_S002	0.46073298429319376
Metalign	species	False negatives	CAMI_MED_S002	28.0
Metalign	species	False positives	CAMI_MED_S002	75.0
Metalign	species	Jaccard index	CAMI_MED_S002	0.29931972789115646
Metalign	species	Taxon counts	CAMI_MED_S002	119.0
Metalign	species	Purity (precision)	CAMI_MED_S002	0.3697478991596639
Metalign	species	Completeness (recall)	CAMI_MED_S002	0.6111111111111112
Metalign	species	True positives	CAMI_MED_S002	44.0
Metalign	family	F1 score	CAMI_MED_S002	0.8686868686868686
Metalign	family	False negatives	CAMI_MED_S002	10.0
Metalign	family	False positives	CAMI_MED_S002	3.0
Metalign	family	Jaccard index	CAMI_MED_S002	0.7678571428571429
Metalign	family	Taxon counts	CAMI_MED_S002	46.0
Metalign	family	Purity (precision)	CAMI_MED_S002	0.9347826086956522
Metalign	family	Completeness (recall)	CAMI_MED_S002	0.8113207547169812
Metalign	family	True positives	CAMI_MED_S002	43.0
Metalign	strain	F1 score	CAMI_MED_S002	0.07407407407407408
Metalign	strain	False negatives	CAMI_MED_S002	219.0
Metalign	strain	False positives	CAMI_MED_S002	106.0
Metalign	strain	Jaccard index	CAMI_MED_S002	0.038461538461538464
Metalign	strain	Taxon counts	CAMI_MED_S002	119.0
Metalign	strain	Purity (precision)	CAMI_MED_S002	0.1092436974789916
Metalign	strain	Completeness (recall)	CAMI_MED_S002	0.05603448275862069
Metalign	strain	True positives	CAMI_MED_S002	13.0
Metalign	class	F1 score	CAMI_MED_S002	0.967741935483871
Metalign	class	False negatives	CAMI_MED_S002	0.0
Metalign	class	False positives	CAMI_MED_S002	1.0
Metalign	class	Jaccard index	CAMI_MED_S002	0.9375
Metalign	class	Taxon counts	CAMI_MED_S002	16.0
Metalign	class	Purity (precision)	CAMI_MED_S002	0.9375
Metalign	class	Completeness (recall)	CAMI_MED_S002	1.0
Metalign	class	True positives	CAMI_MED_S002	15.0
Metalign	order	F1 score	CAMI_MED_S002	0.847457627118644
Metalign	order	False negatives	CAMI_MED_S002	4.0
Metalign	order	False positives	CAMI_MED_S002	5.0
Metalign	order	Jaccard index	CAMI_MED_S002	0.7352941176470589
Metalign	order	Taxon counts	CAMI_MED_S002	30.0
Metalign	order	Purity (precision)	CAMI_MED_S002	0.8333333333333334
Metalign	order	Completeness (recall)	CAMI_MED_S002	0.8620689655172413
Metalign	order	True positives	CAMI_MED_S002	25.0
Metalign	genus	F1 score	CAMI_MED_S002	0.8275862068965518
Metalign	genus	False negatives	CAMI_MED_S002	11.0
Metalign	genus	False positives	CAMI_MED_S002	14.0
Metalign	genus	Jaccard index	CAMI_MED_S002	0.7058823529411765
Metalign	genus	Taxon counts	CAMI_MED_S002	74.0
Metalign	genus	Purity (precision)	CAMI_MED_S002	0.8108108108108109
Metalign	genus	Completeness (recall)	CAMI_MED_S002	0.8450704225352113
Metalign	genus	True positives	CAMI_MED_S002	60.0
Metalign	superkingdom	F1 score	CAMI_MED_S002	0.8
