@SampleID:CAMI_low_S001
@Version:Metalign-v0.2
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	99.83876
1224	phylum	2|1224	Bacteria|Proteobacteria	32.13375
1239	phylum	2|1239	Bacteria|Firmicutes	24.02047
976	phylum	2|976	Bacteria|Bacteroidetes	15.70401
201174	phylum	2|201174	Bacteria|Actinobacteria	12.77108
200795	phylum	2|200795	Bacteria|Chloroflexi	9.06454
544448	phylum	2|544448	Bacteria|Tenericutes	6.14492
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	16.75635
1853228	class	2|976|1853228	Bacteria|Bacteroidetes|Chitinophagia	15.61865
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	13.53884
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	12.77108
388447	class	2|200795|388447	Bacteria|Chloroflexi|Ktedonobacteria	9.06454
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	8.69887
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	7.14345
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	6.49426
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	6.14492
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	2.75258
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	0.76986
909929	order	2|1239|909932|909929	Bacteria|Firmicutes|Negativicutes|Selenomonadales	16.75635
1853229	order	2|976|1853228|1853229	Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	15.61865
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	12.84797
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	11.58708
388448	order	2|200795|388447|388448	Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales	9.06454
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	8.36386
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	7.14332
