@SampleID:CAMI_MED_S001
@Version:Metalign-v0.2
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	98.68761
1224	phylum	2|1224	Bacteria|Proteobacteria	66.04428
201174	phylum	2|201174	Bacteria|Actinobacteria	17.13706
1239	phylum	2|1239	Bacteria|Firmicutes	13.8389
976	phylum	2|976	Bacteria|Bacteroidetes	1.65625
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	46.47576
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	18.17897
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	16.92254
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	9.54775
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	2.58422
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	1.70693
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	1.06485
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	0.77807
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.61148
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	0.55547
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	0.21453
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	37.36304
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	17.65627
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	7.07139
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	6.53034
85011	order	2|201174|1760|85011	Bacteria|Actinobacteria|Actinobacteria|Streptomycetales	5.83149
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	5.01027
85009	order	2|201174|1760|85009	Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	3.53919
68295	order	2|1239|186801|68295	Bacteria|Firmicutes|Clostridia|Thermoanaerobacterales	2.47636
