tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	peabody	0.0
Gold standard	family	Bray-Curtis distance	peabody	0.0
Gold standard	genus	Bray-Curtis distance	peabody	0.0
Gold standard	order	Bray-Curtis distance	peabody	0.0
Gold standard	phylum	Bray-Curtis distance	peabody	0.0
Gold standard	species	Bray-Curtis distance	peabody	0.0
Gold standard	strain	Bray-Curtis distance	peabody	0.0
Gold standard	superkingdom	Bray-Curtis distance	peabody	0.0
Gold standard	superkingdom	Shannon diversity	peabody	0.0
Gold standard	superkingdom	Shannon equitability	peabody	0.0
Gold standard	phylum	Shannon diversity	peabody	0.9596148356708106
Gold standard	phylum	Shannon equitability	peabody	0.8734790658806383
Gold standard	class	Shannon diversity	peabody	1.4241298405939191
Gold standard	class	Shannon equitability	peabody	0.8848616213098132
Gold standard	order	Shannon diversity	peabody	1.9072839069017118
Gold standard	order	Shannon equitability	peabody	0.9172096780181423
Gold standard	family	Shannon diversity	peabody	1.9072839069017118
Gold standard	family	Shannon equitability	peabody	0.9172096780181423
Gold standard	genus	Shannon diversity	peabody	1.9072839069017116
Gold standard	genus	Shannon equitability	peabody	0.9172096780181423
Gold standard	species	Shannon diversity	peabody	2.3693820619323684
Gold standard	species	Shannon equitability	peabody	0.9881090674853673
Gold standard	strain	Shannon diversity	peabody	2.3978952727983707
Gold standard	strain	Shannon equitability	peabody	1.0
Gold standard	family	F1 score	peabody	1.0
Gold standard	family	False negatives	peabody	0.0
Gold standard	family	False positives	peabody	0.0
Gold standard	family	Jaccard index	peabody	1.0
Gold standard	family	Taxon counts	peabody	8.0
Gold standard	family	Purity (precision)	peabody	1.0
Gold standard	family	Completeness (recall)	peabody	1.0
Gold standard	family	True positives	peabody	8.0
Gold standard	superkingdom	F1 score	peabody	1.0
Gold standard	superkingdom	False negatives	peabody	0.0
Gold standard	superkingdom	False positives	peabody	0.0
Gold standard	superkingdom	Jaccard index	peabody	1.0
Gold standard	superkingdom	Taxon counts	peabody	1.0
Gold standard	superkingdom	Purity (precision)	peabody	1.0
Gold standard	superkingdom	Completeness (recall)	peabody	1.0
Gold standard	superkingdom	True positives	peabody	1.0
Gold standard	phylum	F1 score	peabody	1.0
Gold standard	phylum	False negatives	peabody	0.0
Gold standard	phylum	False positives	peabody	0.0
Gold standard	phylum	Jaccard index	peabody	1.0
Gold standard	phylum	Taxon counts	peabody	3.0
Gold standard	phylum	Purity (precision)	peabody	1.0
Gold standard	phylum	Completeness (recall)	peabody	1.0
Gold standard	phylum	True positives	peabody	3.0
Gold standard	order	F1 score	peabody	1.0
Gold standard	order	False negatives	peabody	0.0
Gold standard	order	False positives	peabody	0.0
Gold standard	order	Jaccard index	peabody	1.0
Gold standard	order	Taxon counts	peabody	8.0
Gold standard	order	Purity (precision)	peabody	1.0
Gold standard	order	Completeness (recall)	peabody	1.0
Gold standard	order	True positives	peabody	8.0
Gold standard	strain	F1 score	peabody	1.0
Gold standard	strain	False negatives	peabody	0.0
Gold standard	strain	False positives	peabody	0.0
Gold standard	strain	Jaccard index	peabody	1.0
Gold standard	strain	Taxon counts	peabody	11.0
Gold standard	strain	Purity (precision)	peabody	1.0
Gold standard	strain	Completeness (recall)	peabody	1.0
Gold standard	strain	True positives	peabody	11.0
Gold standard	class	F1 score	peabody	1.0
Gold standard	class	False negatives	peabody	0.0
Gold standard	class	False positives	peabody	0.0
Gold standard	class	Jaccard index	peabody	1.0
Gold standard	class	Taxon counts	peabody	5.0
Gold standard	class	Purity (precision)	peabody	1.0
Gold standard	class	Completeness (recall)	peabody	1.0
Gold standard	class	True positives	peabody	5.0
Gold standard	genus	F1 score	peabody	1.0
Gold standard	genus	False negatives	peabody	0.0
Gold standard	genus	False positives	peabody	0.0
Gold standard	genus	Jaccard index	peabody	1.0
Gold standard	genus	Taxon counts	peabody	8.0
Gold standard	genus	Purity (precision)	peabody	1.0
Gold standard	genus	Completeness (recall)	peabody	1.0
Gold standard	genus	True positives	peabody	8.0
Gold standard	species	F1 score	peabody	1.0
Gold standard	species	False negatives	peabody	0.0
Gold standard	species	False positives	peabody	0.0
Gold standard	species	Jaccard index	peabody	1.0
Gold standard	species	Taxon counts	peabody	11.0
Gold standard	species	Purity (precision)	peabody	1.0
Gold standard	species	Completeness (recall)	peabody	1.0
Gold standard	species	True positives	peabody	11.0
Gold standard	class	L1 norm error	peabody	0.0
Gold standard	family	L1 norm error	peabody	0.0
Gold standard	genus	L1 norm error	peabody	0.0
Gold standard	order	L1 norm error	peabody	0.0
Gold standard	phylum	L1 norm error	peabody	0.0
Gold standard	species	L1 norm error	peabody	0.0
Gold standard	strain	L1 norm error	peabody	0.0
Gold standard	superkingdom	L1 norm error	peabody	0.0
Gold standard	na	Weighted UniFrac error	peabody	0.0
Gold standard	na	Unweighted UniFrac error	peabody	0.0
Metalign	class	Bray-Curtis distance	peabody	0.052840149810156875
Metalign	family	Bray-Curtis distance	peabody	0.07528123259776755
Metalign	genus	Bray-Curtis distance	peabody	0.08159438100306426
Metalign	order	Bray-Curtis distance	peabody	0.07291276192987932
Metalign	phylum	Bray-Curtis distance	peabody	0.0454540365138489
Metalign	species	Bray-Curtis distance	peabody	0.8165360855460443
Metalign	strain	Bray-Curtis distance	peabody	1.0
Metalign	superkingdom	Bray-Curtis distance	peabody	0.0
Metalign	superkingdom	Shannon diversity	peabody	0.0
Metalign	superkingdom	Shannon equitability	peabody	0.0
Metalign	phylum	Shannon diversity	peabody	0.8948158009174201
Metalign	phylum	Shannon equitability	peabody	0.8144964426005464
Metalign	class	Shannon diversity	peabody	1.3610354227046118
Metalign	class	Shannon equitability	peabody	0.8456588552994836
Metalign	order	Shannon diversity	peabody	1.8587058861502237
Metalign	order	Shannon equitability	peabody	0.7479982744256405
Metalign	family	Shannon diversity	peabody	1.869052470015373
Metalign	family	Shannon equitability	peabody	0.7286898139248743
Metalign	genus	Shannon diversity	peabody	1.8576829268326704
Metalign	genus	Shannon equitability	peabody	0.7242571559662958
Metalign	species	Shannon diversity	peabody	2.8395577100723406
Metalign	species	Shannon equitability	peabody	0.7646432219618587
Metalign	strain	Shannon diversity	peabody	2.8395577100723406
Metalign	strain	Shannon equitability	peabody	0.7646432219618587
Metalign	family	F1 score	peabody	0.761904761904762
Metalign	family	False negatives	peabody	0.0
Metalign	family	False positives	peabody	5.0
Metalign	family	Jaccard index	peabody	0.6153846153846154
Metalign	family	Taxon counts	peabody	13.0
Metalign	family	Purity (precision)	peabody	0.6153846153846154
Metalign	family	Completeness (recall)	peabody	1.0
Metalign	family	True positives	peabody	8.0
Metalign	superkingdom	F1 score	peabody	1.0
Metalign	superkingdom	False negatives	peabody	0.0
Metalign	superkingdom	False positives	peabody	0.0
Metalign	superkingdom	Jaccard index	peabody	1.0
Metalign	superkingdom	Taxon counts	peabody	1.0
Metalign	superkingdom	Purity (precision)	peabody	1.0
Metalign	superkingdom	Completeness (recall)	peabody	1.0
Metalign	superkingdom	True positives	peabody	1.0
Metalign	phylum	F1 score	peabody	1.0
Metalign	phylum	False negatives	peabody	0.0
Metalign	phylum	False positives	peabody	0.0
Metalign	phylum	Jaccard index	peabody	1.0
Metalign	phylum	Taxon counts	peabody	3.0
Metalign	phylum	Purity (precision)	peabody	1.0
Metalign	phylum	Completeness (recall)	peabody	1.0
Metalign	phylum	True positives	peabody	3.0
Metalign	order	F1 score	peabody	0.8
Metalign	order	False negatives	peabody	0.0
Metalign	order	False positives	peabody	4.0
Metalign	order	Jaccard index	peabody	0.6666666666666666
Metalign	order	Taxon counts	peabody	12.0
Metalign	order	Purity (precision)	peabody	0.6666666666666666
Metalign	order	Completeness (recall)	peabody	1.0
Metalign	order	True positives	peabody	8.0
Metalign	strain	False negatives	peabody	11.0
Metalign	strain	False positives	peabody	41.0
Metalign	strain	Jaccard index	peabody	0.0
Metalign	strain	Taxon counts	peabody	41.0
Metalign	strain	Purity (precision)	peabody	0.0
Metalign	strain	Completeness (recall)	peabody	0.0
Metalign	strain	True positives	peabody	0.0
Metalign	class	F1 score	peabody	1.0
Metalign	class	False negatives	peabody	0.0
Metalign	class	False positives	peabody	0.0
Metalign	class	Jaccard index	peabody	1.0
Metalign	class	Taxon counts	peabody	5.0
Metalign	class	Purity (precision)	peabody	1.0
Metalign	class	Completeness (recall)	peabody	1.0
Metalign	class	True positives	peabody	5.0
Metalign	genus	F1 score	peabody	0.761904761904762
Metalign	genus	False negatives	peabody	0.0
Metalign	genus	False positives	peabody	5.0
Metalign	genus	Jaccard index	peabody	0.6153846153846154
Metalign	genus	Taxon counts	peabody	13.0
Metalign	genus	Purity (precision)	peabody	0.6153846153846154
Metalign	genus	Completeness (recall)	peabody	1.0
Metalign	genus	True positives	peabody	8.0
Metalign	species	F1 score	peabody	0.11538461538461536
Metalign	species	False negatives	peabody	8.0
Metalign	species	False positives	peabody	38.0
Metalign	species	Jaccard index	peabody	0.061224489795918366
Metalign	species	Taxon counts	peabody	41.0
Metalign	species	Purity (precision)	peabody	0.07317073170731707
Metalign	species	Completeness (recall)	peabody	0.2727272727272727
Metalign	species	True positives	peabody	3.0
Metalign	class	L1 norm error	peabody	0.10568029962031375
Metalign	family	L1 norm error	peabody	0.15056246519553507
Metalign	genus	L1 norm error	peabody	0.16318876200612847
Metalign	order	L1 norm error	peabody	0.1458255238597586
Metalign	phylum	L1 norm error	peabody	0.0909080730276978
Metalign	species	L1 norm error	peabody	1.633072171092089
Metalign	strain	L1 norm error	peabody	1.9999999999999998
Metalign	superkingdom	L1 norm error	peabody	0.0
Metalign	na	Weighted UniFrac error	peabody	4.304452349568893
Metalign	na	Unweighted UniFrac error	peabody	344.38604629936606
Bracken+Kraken2	class	Bray-Curtis distance	peabody	0.07431722951688549
Bracken+Kraken2	family	Bray-Curtis distance	peabody	0.08274826401192445
Bracken+Kraken2	genus	Bray-Curtis distance	peabody	0.09376184570553367
Bracken+Kraken2	order	Bray-Curtis distance	peabody	0.08211324346227117
Bracken+Kraken2	phylum	Bray-Curtis distance	peabody	0.0648861465833975
Bracken+Kraken2	species	Bray-Curtis distance	peabody	0.7710685403154787
Bracken+Kraken2	superkingdom	Bray-Curtis distance	peabody	0.0014200000000000506
Bracken+Kraken2	superkingdom	Shannon diversity	peabody	0.011152874865796109
Bracken+Kraken2	superkingdom	Shannon equitability	peabody	0.008045098630269604
Bracken+Kraken2	phylum	Shannon diversity	peabody	0.8872683025188124
Bracken+Kraken2	phylum	Shannon equitability	peabody	0.30697376560468287
Bracken+Kraken2	class	Shannon diversity	peabody	1.3673539717468792
Bracken+Kraken2	class	Shannon equitability	peabody	0.37323078026854395
Bracken+Kraken2	order	Shannon diversity	peabody	1.9923241265968041
Bracken+Kraken2	order	Shannon equitability	peabody	0.4406053252266413
Bracken+Kraken2	family	Shannon diversity	peabody	2.028362717252505
Bracken+Kraken2	family	Shannon equitability	peabody	0.39144103522775875
Bracken+Kraken2	genus	Shannon diversity	peabody	2.125022782107592
Bracken+Kraken2	genus	Shannon equitability	peabody	0.3452594275363522
Bracken+Kraken2	species	Shannon diversity	peabody	2.570600933171646
Bracken+Kraken2	species	Shannon equitability	peabody	0.35960780651456725
Bracken+Kraken2	family	F1 score	peabody	0.10738255033557045
Bracken+Kraken2	family	False negatives	peabody	0.0
Bracken+Kraken2	family	False positives	peabody	133.0
Bracken+Kraken2	family	Jaccard index	peabody	0.05673758865248227
Bracken+Kraken2	family	Taxon counts	peabody	141.0
Bracken+Kraken2	family	Purity (precision)	peabody	0.05673758865248227
Bracken+Kraken2	family	Completeness (recall)	peabody	1.0
Bracken+Kraken2	family	True positives	peabody	8.0
Bracken+Kraken2	superkingdom	F1 score	peabody	0.4
Bracken+Kraken2	superkingdom	False negatives	peabody	0.0
Bracken+Kraken2	superkingdom	False positives	peabody	3.0
Bracken+Kraken2	superkingdom	Jaccard index	peabody	0.25
Bracken+Kraken2	superkingdom	Taxon counts	peabody	4.0
Bracken+Kraken2	superkingdom	Purity (precision)	peabody	0.25
Bracken+Kraken2	superkingdom	Completeness (recall)	peabody	1.0
Bracken+Kraken2	superkingdom	True positives	peabody	1.0
Bracken+Kraken2	phylum	F1 score	peabody	0.33333333333333337
Bracken+Kraken2	phylum	False negatives	peabody	0.0
Bracken+Kraken2	phylum	False positives	peabody	12.0
Bracken+Kraken2	phylum	Jaccard index	peabody	0.2
Bracken+Kraken2	phylum	Taxon counts	peabody	15.0
Bracken+Kraken2	phylum	Purity (precision)	peabody	0.2
Bracken+Kraken2	phylum	Completeness (recall)	peabody	1.0
Bracken+Kraken2	phylum	True positives	peabody	3.0
Bracken+Kraken2	order	F1 score	peabody	0.1904761904761905
Bracken+Kraken2	order	False negatives	peabody	0.0
Bracken+Kraken2	order	False positives	peabody	68.0
Bracken+Kraken2	order	Jaccard index	peabody	0.10526315789473684
Bracken+Kraken2	order	Taxon counts	peabody	76.0
Bracken+Kraken2	order	Purity (precision)	peabody	0.10526315789473684
Bracken+Kraken2	order	Completeness (recall)	peabody	1.0
Bracken+Kraken2	order	True positives	peabody	8.0
Bracken+Kraken2	strain	False negatives	peabody	11.0
Bracken+Kraken2	strain	False positives	peabody	0.0
Bracken+Kraken2	strain	Jaccard index	peabody	0.0
Bracken+Kraken2	strain	Taxon counts	peabody	0.0
Bracken+Kraken2	strain	Purity (precision)	peabody	0.0
Bracken+Kraken2	strain	Completeness (recall)	peabody	0.0
Bracken+Kraken2	strain	True positives	peabody	0.0
Bracken+Kraken2	class	F1 score	peabody	0.3125
Bracken+Kraken2	class	False negatives	peabody	0.0
Bracken+Kraken2	class	False positives	peabody	22.0
Bracken+Kraken2	class	Jaccard index	peabody	0.18518518518518517
Bracken+Kraken2	class	Taxon counts	peabody	27.0
Bracken+Kraken2	class	Purity (precision)	peabody	0.18518518518518517
Bracken+Kraken2	class	Completeness (recall)	peabody	1.0
Bracken+Kraken2	class	True positives	peabody	5.0
Bracken+Kraken2	genus	F1 score	peabody	0.046511627906976744
Bracken+Kraken2	genus	False negatives	peabody	0.0
Bracken+Kraken2	genus	False positives	peabody	328.0
Bracken+Kraken2	genus	Jaccard index	peabody	0.023809523809523808
Bracken+Kraken2	genus	Taxon counts	peabody	336.0
Bracken+Kraken2	genus	Purity (precision)	peabody	0.023809523809523808
Bracken+Kraken2	genus	Completeness (recall)	peabody	1.0
Bracken+Kraken2	genus	True positives	peabody	8.0
Bracken+Kraken2	species	F1 score	peabody	0.006734006734006734
Bracken+Kraken2	species	False negatives	peabody	8.0
Bracken+Kraken2	species	False positives	peabody	877.0
Bracken+Kraken2	species	Jaccard index	peabody	0.0033783783783783786
Bracken+Kraken2	species	Taxon counts	peabody	880.0
Bracken+Kraken2	species	Purity (precision)	peabody	0.003409090909090909
Bracken+Kraken2	species	Completeness (recall)	peabody	0.2727272727272727
Bracken+Kraken2	species	True positives	peabody	3.0
Bracken+Kraken2	class	L1 norm error	peabody	0.14863445903377095
Bracken+Kraken2	family	L1 norm error	peabody	0.16549652802384848
Bracken+Kraken2	genus	L1 norm error	peabody	0.1875236914110671
Bracken+Kraken2	order	L1 norm error	peabody	0.16422648692454225
Bracken+Kraken2	phylum	L1 norm error	peabody	0.12977229316679498
Bracken+Kraken2	species	L1 norm error	peabody	1.5421370806309387
Bracken+Kraken2	superkingdom	L1 norm error	peabody	0.002840000000000101
Bracken+Kraken2	na	Weighted UniFrac error	peabody	3.3473405908839804
Bracken+Kraken2	na	Unweighted UniFrac error	peabody	6773.439772219902
CLARK	class	Bray-Curtis distance	peabody	0.10181886760582563
CLARK	family	Bray-Curtis distance	peabody	0.15498291021761007
CLARK	genus	Bray-Curtis distance	peabody	0.17018218656123868
CLARK	order	Bray-Curtis distance	peabody	0.154719587973851
CLARK	phylum	Bray-Curtis distance	peabody	0.061686842612161646
CLARK	species	Bray-Curtis distance	peabody	0.829334169208428
CLARK	superkingdom	Bray-Curtis distance	peabody	0.0012660799030378867
CLARK	superkingdom	Shannon diversity	peabody	0.009783559285814833
CLARK	superkingdom	Shannon equitability	peabody	0.007057346231944114
CLARK	phylum	Shannon diversity	peabody	0.9390891902468472
CLARK	phylum	Shannon equitability	peabody	0.32490256233695997
CLARK	class	Shannon diversity	peabody	1.4561146795426763
CLARK	class	Shannon equitability	peabody	0.40633653806501585
CLARK	order	Shannon diversity	peabody	1.9753142218697441
CLARK	order	Shannon equitability	peabody	0.4495021224149272
CLARK	family	Shannon diversity	peabody	2.006596877897321
CLARK	family	Shannon equitability	peabody	0.4004675575293974
CLARK	genus	Shannon diversity	peabody	2.1066570636660065
CLARK	genus	Shannon equitability	peabody	0.3585841536144345
CLARK	species	Shannon diversity	peabody	2.466063719673266
CLARK	species	Shannon equitability	peabody	0.3617660655876881
CLARK	family	F1 score	peabody	0.10126582278481014
CLARK	family	False negatives	peabody	0.0
CLARK	family	False positives	peabody	142.0
